what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1347926441228
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1347926441270
started,bundle,com.collabnet.subversion.merge,2.2.3,"com.collabnet.subversion.merge",1347926441270
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1347926441270
started,bundle,org.tigris.subversion.subclipse.core,1.6.17,"org.tigris.subversion.subclipse.core",1347926441270
started,bundle,org.tigris.subversion.subclipse.ui,1.6.17,"org.tigris.subversion.subclipse.ui",1347926441285
os,sysinfo,,,"win32",1347926441293
arch,sysinfo,,,"x86",1347926441293
ws,sysinfo,,,"win32",1347926441293
locale,sysinfo,,,"es_AR",1347926441293
processors,sysinfo,,,"2",1347926441294
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1347926441294
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1347926441294
java.specification.name,sysinfo,,,"Java Platform API Specification",1347926441294
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347926441294
java.specification.version,sysinfo,,,"1.6",1347926441294
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1347926441294
java.version,sysinfo,,,"1.6.0_29",1347926441294
java.vm.info,sysinfo,,,"mixed mode, sharing",1347926441294
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1347926441294
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1347926441294
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1347926441294
java.vm.specification.version,sysinfo,,,"1.0",1347926441294
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1347926441294
java.vm.version,sysinfo,,,"20.4-b02",1347926441294
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1347926441484
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1347926441527
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1347926441895
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1347926441896
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1347926441897
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1347926441987
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1347926442438
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1347926442548
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1347926443229
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926443652
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926449960
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926464455
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926499403
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926501434
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926503909
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926509127
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926514442
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1347926521728
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1347926523258
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1347926523370
